point_id,region_id,u_m,v_m,x_m,y_m,z_m,nx,ny,nz
55,11,13.900000000,-0.000000000,0.070804870,0.000000000,32.951819520,0.000000000,-1.000000000,0.000000000
56,11,13.950000000,-0.000000000,0.070805891,0.000000000,33.001819520,0.000000000,-1.000000000,0.000000000
57,11,14.000000000,-0.000000000,0.070806911,0.000000000,33.051819520,0.000000000,-1.000000000,0.000000000
58,11,14.050000000,-0.000000000,0.070807932,0.000000000,33.101819520,0.000000000,-1.000000000,0.000000000
59,11,14.100000000,-0.000000000,0.070808953,0.000000000,33.151819520,0.000000000,-1.000000000,0.000000000
60,12,13.400000000,-0.000000000,0.070794663,0.000000000,32.451819520,0.000000000,-1.000000000,0.000000000
61,13,12.600000000,-0.000000000,0.070778333,0.000000000,31.651819521,0.000000000,-1.000000000,0.000000000
62,13,12.650000000,-0.000000000,0.070779354,0.000000000,31.701819521,0.000000000,-1.000000000,0.000000000
63,13,12.700000000,-0.000000000,0.070780374,0.000000000,31.751819521,0.000000000,-1.000000000,0.000000000
64,13,12.750000000,-0.000000000,0.070781395,0.000000000,31.801819521,0.000000000,-1.000000000,0.000000000
65,13,12.800000000,-0.000000000,0.070782416,0.000000000,31.851819521,0.000000000,-1.000000000,0.000000000
66,13,12.850000000,-0.000000000,0.070783436,0.000000000,31.901819520,0.000000000,-1.000000000,0.000000000
67,13,12.900000000,-0.000000000,0.070784457,0.000000000,31.951819520,0.000000000,-1.000000000,0.000000000
68,13,12.950000000,-0.000000000,0.070785478,0.000000000,32.001819520,0.000000000,-1.000000000,0.000000000
69,13,13.000000000,-0.000000000,0.070786498,0.000000000,32.051819520,0.000000000,-1.000000000,0.000000000
70,13,13.050000000,-0.000000000,0.070787519,0.000000000,32.101819520,0.000000000,-1.000000000,0.000000000
71,13,13.100000000,-0.000000000,0.070788540,0.000000000,32.151819520,0.000000000,-1.000000000,0.000000000
72,13,13.150000000,-0.000000000,0.070789560,0.000000000,32.201819520,0.000000000,-1.000000000,0.000000000
73,13,13.200000000,-0.000000000,0.070790581,0.000000000,32.251819520,0.000000000,-1.000000000,0.000000000
74,14,12.319239214,0.003484516,0.067288086,0.000000000,31.371058806,0.000000000,-1.000000000,0.000000000
75,15,11.700000000,-0.000000000,0.070759962,0.000000000,30.751819521,0.000000000,-1.000000000,0.000000000
76,15,11.750000000,-0.000000000,0.070760982,0.000000000,30.801819521,0.000000000,-1.000000000,0.000000000
77,16,10.700000000,-0.000000000,0.070739549,0.000000000,29.751819521,0.000000000,-1.000000000,0.000000000
78,16,10.750000000,-0.000000000,0.070740569,0.000000000,29.801819521,0.000000000,-1.000000000,0.000000000
79,16,10.800000000,-0.000000000,0.070741590,0.000000000,29.851819521,0.000000000,-1.000000000,0.000000000
80,16,10.850000000,-0.000000000,0.070742611,0.000000000,29.901819521,0.000000000,-1.000000000,0.000000000
81,16,10.900000000,-0.000000000,0.070743631,0.000000000,29.951819521,0.000000000,-1.000000000,0.000000000
82,16,10.950000000,-0.000000000,0.070744652,0.000000000,30.001819521,0.000000000,-1.000000000,0.000000000
83,16,11.000000000,-0.000000000,0.070745672,0.000000000,30.051819521,0.000000000,-1.000000000,0.000000000
84,16,11.050000000,-0.000000000,0.070746693,0.000000000,30.101819521,0.000000000,-1.000000000,0.000000000
85,16,11.100000000,-0.000000000,0.070747714,0.000000000,30.151819521,0.000000000,-1.000000000,0.000000000
86,16,11.150000000,-0.000000000,0.070748734,0.000000000,30.201819521,0.000000000,-1.000000000,0.000000000
87,16,11.200000000,-0.000000000,0.070749755,0.000000000,30.251819521,0.000000000,-1.000000000,0.000000000
88,16,11.250000000,-0.000000000,0.070750776,0.000000000,30.301819521,0.000000000,-1.000000000,0.000000000
89,16,11.300000000,-0.000000000,0.070751796,0.000000000,30.351819521,0.000000000,-1.000000000,0.000000000
90,16,11.350000000,-0.000000000,0.070752817,0.000000000,30.401819521,0.000000000,-1.000000000,0.000000000
91,16,11.400000000,-0.000000000,0.070753838,0.000000000,30.451819521,0.000000000,-1.000000000,0.000000000
92,17,10.500000000,-0.000000000,0.070735466,0.000000000,29.551819521,0.000000000,-1.000000000,0.000000000
93,18,9.800000000,-0.000000000,0.070721177,0.000000000,28.851819521,0.000000000,-1.000000000,0.000000000
94,18,9.850000000,-0.000000000,0.070722198,0.000000000,28.901819521,0.000000000,-1.000000000,0.000000000
95,18,9.900000000,-0.000000000,0.070723218,0.000000000,28.951819521,0.000000000,-1.000000000,0.000000000
96,18,9.950000000,-0.000000000,0.070724239,0.000000000,29.001819521,0.000000000,-1.000000000,0.000000000
97,18,10.000000000,-0.000000000,0.070725260,0.000000000,29.051819521,0.000000000,-1.000000000,0.000000000
98,18,10.050000000,-0.000000000,0.070726280,0.000000000,29.101819521,0.000000000,-1.000000000,0.000000000
99,18,10.100000000,-0.000000000,0.070727301,0.000000000,29.151819521,0.000000000,-1.000000000,0.000000000
100,18,10.150000000,-0.000000000,0.070728321,0.000000000,29.201819521,0.000000000,-1.000000000,0.000000000
101,18,10.200000000,-0.000000000,0.070729342,0.000000000,29.251819521,0.000000000,-1.000000000,0.000000000
102,18,10.250000000,-0.000000000,0.070730363,0.000000000,29.301819521,0.000000000,-1.000000000,0.000000000
103,18,10.300000000,-0.000000000,0.070731383,0.000000000,29.351819521,0.000000000,-1.000000000,0.000000000
104,19,9.400000000,-0.000000000,0.070713012,0.000000000,28.451819521,0.000000000,-1.000000000,0.000000000
105,19,9.450000000,-0.000000000,0.070714032,0.000000000,28.501819521,0.000000000,-1.000000000,0.000000000
106,19,9.500000000,-0.000000000,0.070715053,0.000000000,28.551819521,0.000000000,-1.000000000,0.000000000
107,19,9.550000000,-0.000000000,0.070716074,0.000000000,28.601819521,0.000000000,-1.000000000,0.000000000
108,19,9.600000000,-0.000000000,0.070717094,0.000000000,28.651819521,0.000000000,-1.000000000,0.000000000
109,20,8.900000000,-0.000000000,0.070702805,0.000000000,27.951819521,0.000000000,-1.000000000,0.000000000
110,20,8.950000000,-0.000000000,0.070703826,0.000000000,28.001819521,0.000000000,-1.000000000,0.000000000
111,20,9.000000000,-0.000000000,0.070704847,0.000000000,28.051819521,0.000000000,-1.000000000,0.000000000
112,20,9.050000000,-0.000000000,0.070705867,0.000000000,28.101819521,0.000000000,-1.000000000,0.000000000
113,20,9.100000000,-0.000000000,0.070706888,0.000000000,28.151819521,0.000000000,-1.000000000,0.000000000
114,20,9.150000000,-0.000000000,0.070707909,0.000000000,28.201819521,0.000000000,-1.000000000,0.000000000
115,21,8.250000000,-0.000000000,0.070689537,0.000000000,27.301819521,0.000000000,-1.000000000,0.000000000
116,21,8.300000000,-0.000000000,0.070690558,0.000000000,27.351819521,0.000000000,-1.000000000,0.000000000
117,21,8.350000000,-0.000000000,0.070691578,0.000000000,27.401819521,0.000000000,-1.000000000,0.000000000
118,21,8.400000000,-0.000000000,0.070692599,0.000000000,27.451819521,0.000000000,-1.000000000,0.000000000
119,21,8.450000000,-0.000000000,0.070693620,0.000000000,27.501819521,0.000000000,-1.000000000,0.000000000
120,21,8.500000000,-0.000000000,0.070694640,0.000000000,27.551819521,0.000000000,-1.000000000,0.000000000
121,21,8.550000000,-0.000000000,0.070695661,0.000000000,27.601819521,0.000000000,-1.000000000,0.000000000
122,21,8.600000000,-0.000000000,0.070696681,0.000000000,27.651819521,0.000000000,-1.000000000,0.000000000
123,21,8.650000000,-0.000000000,0.070697702,0.000000000,27.701819521,0.000000000,-1.000000000,0.000000000
124,21,8.700000000,-0.000000000,0.070698723,0.000000000,27.751819521,0.000000000,-1.000000000,0.000000000
125,22,8.000000000,-0.000000000,0.070684434,0.000000000,27.051819522,0.000000000,-1.000000000,0.000000000
126,23,7.819239215,0.003392658,0.067288086,0.000000000,26.871058806,0.000000000,-1.000000000,0.000000000
127,24,6.200000000,-0.000000000,0.070647690,0.000000000,25.251819522,0.000000000,-1.000000000,0.000000000
128,24,6.250000000,-0.000000000,0.070648711,0.000000000,25.301819522,0.000000000,-1.000000000,0.000000000
129,24,6.300000000,-0.000000000,0.070649732,0.000000000,25.351819522,0.000000000,-1.000000000,0.000000000
130,24,6.350000000,-0.000000000,0.070650752,0.000000000,25.401819522,0.000000000,-1.000000000,0.000000000
131,24,6.400000000,-0.000000000,0.070651773,0.000000000,25.451819522,0.000000000,-1.000000000,0.000000000
132,24,6.450000000,-0.000000000,0.070652794,0.000000000,25.501819522,0.000000000,-1.000000000,0.000000000
133,24,6.500000000,-0.000000000,0.070653814,0.000000000,25.551819522,0.000000000,-1.000000000,0.000000000
134,24,6.550000000,-0.000000000,0.070654835,0.000000000,25.601819522,0.000000000,-1.000000000,0.000000000
135,24,6.600000000,-0.000000000,0.070655856,0.000000000,25.651819522,0.000000000,-1.000000000,0.000000000
136,24,6.650000000,-0.000000000,0.070656876,0.000000000,25.701819522,0.000000000,-1.000000000,0.000000000
137,24,6.700000000,-0.000000000,0.070657897,0.000000000,25.751819522,0.000000000,-1.000000000,0.000000000
138,24,6.750000000,-0.000000000,0.070658918,0.000000000,25.801819522,0.000000000,-1.000000000,0.000000000
139,24,6.800000000,-0.000000000,0.070659938,0.000000000,25.851819522,0.000000000,-1.000000000,0.000000000
140,24,6.850000000,-0.000000000,0.070660959,0.000000000,25.901819522,0.000000000,-1.000000000,0.000000000
141,25,5.800000000,-0.000000000,0.070639525,0.000000000,24.851819522,0.000000000,-1.000000000,0.000000000
142,25,5.850000000,-0.000000000,0.070640546,0.000000000,24.901819522,0.000000000,-1.000000000,0.000000000
143,25,5.900000000,-0.000000000,0.070641567,0.000000000,24.951819522,0.000000000,-1.000000000,0.000000000
144,25,5.950000000,-0.000000000,0.070642587,0.000000000,25.001819522,0.000000000,-1.000000000,0.000000000
